,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,lot_config,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,heating_qc,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,saleprice
0,60,3,0.0,13517,3,3,8,2,6,8,1976,2005,5,11,7,4.0,289.0,4,5,3.0,1.0,6.0,533.0,192.0,725.0,5,754,1479,0.0,2,1,3,4,0,0.0,5.0,2.0,475.0,0,44,3,2010,130500
1,60,3,43.0,11492,3,3,10,2,7,5,1996,1997,5,3,3,4.0,132.0,4,4,4.0,1.0,6.0,637.0,276.0,913.0,5,1209,2122,1.0,2,1,4,4,1,3.0,5.0,2.0,559.0,0,74,4,2009,220000
2,20,3,68.0,7922,4,5,1,1,5,7,1953,2007,5,3,3,2.0,0.0,3,5,3.0,1.0,6.0,731.0,326.0,1057.0,3,0,1057,1.0,1,0,3,4,0,0.0,1.0,1.0,246.0,0,52,1,2010,109000
3,60,3,73.0,9802,4,5,16,2,5,5,2006,2007,5,3,3,2.0,0.0,3,4,4.0,1.0,1.0,0.0,384.0,384.0,4,700,1444,0.0,2,1,3,3,0,0.0,3.0,3.0,400.0,100,0,4,2010,174000
4,50,3,82.0,14235,3,5,10,3,6,8,1900,1993,5,2,7,2.0,0.0,3,4,2.0,1.0,1.0,0.0,676.0,676.0,3,614,1445,0.0,2,0,3,3,0,0.0,1.0,1.0,484.0,0,59,3,2010,138500
5,20,3,137.0,16492,3,4,1,1,6,6,1966,2002,5,14,7,2.0,0.0,4,5,3.0,1.0,5.0,247.0,557.0,1517.0,5,0,1888,0.0,2,1,2,4,1,4.0,5.0,3.0,578.0,0,0,6,2010,190000
6,180,1,35.0,3675,4,5,4,5,6,5,2005,2006,5,3,3,4.0,82.0,3,4,4.0,4.0,6.0,547.0,0.0,547.0,4,0,1072,1.0,2,0,2,3,0,0.0,4.0,3.0,525.0,0,44,6,2006,140000
7,20,3,0.0,12160,3,5,1,1,5,5,1959,1959,3,7,7,4.0,180.0,3,5,3.0,1.0,3.0,1000.0,188.0,1188.0,2,0,1188,1.0,1,0,3,3,0,0.0,5.0,2.0,531.0,0,0,5,2010,142000
8,20,3,0.0,15783,4,5,3,1,5,5,1952,1952,5,2,2,2.0,0.0,3,5,3.0,1.0,3.0,292.0,632.0,924.0,3,0,924,0.0,1,0,2,3,0,0.0,1.0,1.0,420.0,0,324,6,2007,112500
9,60,3,70.0,11606,3,5,1,2,5,5,1969,1969,5,7,7,4.0,192.0,3,4,4.0,3.0,3.0,650.0,390.0,1040.0,3,1040,2080,0.0,1,2,5,2,2,3.0,5.0,1.0,504.0,335,0,9,2007,135000
10,160,1,21.0,1680,4,5,22,2,6,5,1971,1971,5,11,11,4.0,232.0,3,5,3.0,1.0,5.0,387.0,96.0,483.0,3,504,987,0.0,1,1,2,3,0,0.0,1.0,1.0,264.0,0,0,7,2008,85400
11,20,3,64.0,7488,3,5,2,1,7,5,2005,2005,5,3,3,2.0,0.0,4,4,4.0,3.0,6.0,393.0,815.0,1208.0,5,0,1208,0.0,2,0,2,4,0,0.0,5.0,2.0,632.0,105,58,2,2006,183600
12,70,3,120.0,26400,4,2,10,2,5,7,1880,2007,5,11,11,2.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,5,728,2016,0.0,1,0,4,3,1,3.0,5.0,1.0,576.0,0,0,6,2009,131000
13,160,6,24.0,2645,4,5,5,2,8,5,1999,2000,5,9,9,4.0,456.0,4,4,4.0,1.0,6.0,813.0,147.0,960.0,5,645,1607,1.0,2,1,3,4,0,0.0,1.0,1.0,480.0,169,0,12,2008,200000
14,20,3,74.0,9627,4,5,2,1,7,5,2007,2007,5,3,3,2.0,0.0,4,4,4.0,3.0,6.0,24.0,1327.0,1351.0,5,0,1361,0.0,2,0,3,4,0,0.0,5.0,2.0,610.0,0,50,6,2008,193000
15,20,3,93.0,10114,4,5,11,1,5,5,2004,2005,5,3,3,2.0,0.0,3,4,5.0,3.0,1.0,0.0,1430.0,1430.0,5,0,1430,0.0,2,0,3,4,0,0.0,5.0,2.0,624.0,0,0,3,2010,173500
16,70,1,34.0,4571,4,5,3,2,5,5,1916,1950,5,17,17,2.0,0.0,3,6,3.0,1.0,1.0,0.0,624.0,624.0,2,720,1344,0.0,1,0,4,3,0,0.0,1.0,1.0,513.0,0,0,5,2008,98000
17,20,3,80.0,8816,4,4,8,1,5,6,1963,1963,5,3,3,2.0,0.0,3,4,3.0,1.0,3.0,651.0,470.0,1121.0,3,0,1121,1.0,1,0,3,3,0,0.0,1.0,1.0,480.0,0,80,6,2009,139000
18,20,3,71.0,8197,4,5,8,1,6,5,1977,1977,5,7,7,4.0,148.0,3,5,3.0,1.0,1.0,0.0,660.0,660.0,5,0,1285,0.0,1,1,3,3,1,3.0,5.0,2.0,528.0,138,0,4,2007,143500
19,60,6,72.0,8640,4,5,5,2,7,5,2009,2009,5,3,3,2.0,0.0,3,4,4.0,2.0,6.0,24.0,732.0,756.0,5,783,1547,0.0,2,1,3,4,0,0.0,5.0,1.0,614.0,169,45,6,2010,215200
20,20,3,109.0,8724,4,5,8,1,5,5,1968,1968,5,3,3,2.0,0.0,3,5,4.0,1.0,4.0,492.0,402.0,894.0,4,0,894,0.0,1,0,3,3,1,1.0,5.0,3.0,450.0,0,0,5,2007,129000
21,120,3,40.0,5664,3,5,17,1,8,5,2000,2000,5,12,12,2.0,0.0,4,4,4.0,1.0,6.0,1158.0,343.0,1501.0,5,0,1659,1.0,2,0,2,5,1,5.0,5.0,3.0,499.0,212,59,10,2009,278000
22,60,3,103.0,12867,3,4,6,2,8,5,2005,2006,5,12,12,0.0,0.0,4,4,5.0,3.0,1.0,0.0,1209.0,1209.0,5,1044,2253,0.0,2,1,3,5,1,4.0,5.0,3.0,575.0,243,142,7,2006,344133
23,20,3,0.0,7980,3,5,7,1,6,7,1992,2007,5,11,11,2.0,0.0,3,4,4.0,1.0,5.0,935.0,233.0,1168.0,5,0,1187,1.0,2,0,3,3,0,0.0,5.0,3.0,420.0,483,21,3,2010,185000
24,190,3,100.0,34650,4,5,7,1,5,5,1955,1955,3,2,2,2.0,0.0,3,5,3.0,2.0,3.0,1056.0,0.0,1056.0,3,0,1056,1.0,1,0,3,3,0,0.0,5.0,3.0,572.0,264,0,1,2006,145000
25,20,3,92.0,10573,3,4,1,1,6,6,1961,1961,3,9,9,4.0,3.0,3,5,3.0,1.0,3.0,1312.0,141.0,1453.0,5,0,1453,1.0,2,0,3,3,1,3.0,5.0,2.0,530.0,0,49,4,2009,187500
26,20,3,65.0,8450,4,5,8,1,5,8,1965,2009,5,9,9,2.0,0.0,3,5,3.0,1.0,6.0,553.0,224.0,894.0,5,0,894,1.0,1,0,3,3,1,4.0,1.0,1.0,336.0,416,144,4,2010,138500
27,50,3,0.0,11700,3,5,13,3,5,6,1937,1995,5,1,1,2.0,0.0,3,5,3.0,1.0,4.0,606.0,336.0,942.0,5,673,1938,0.0,2,0,4,4,1,4.0,1.0,1.0,240.0,0,40,7,2008,198000
28,190,7,75.0,8250,4,5,14,2,5,6,1895,2006,5,3,3,2.0,0.0,3,5,3.0,1.0,1.0,0.0,957.0,957.0,2,957,1991,0.0,2,0,4,3,0,0.0,0.0,0.0,0.0,0,0,6,2007,119600
29,50,3,60.0,8064,4,4,1,3,5,7,1949,2006,5,9,9,2.0,0.0,3,5,3.0,2.0,1.0,0.0,672.0,672.0,5,252,924,0.0,1,0,3,3,1,1.0,1.0,1.0,576.0,0,0,7,2007,122900
30,20,3,80.0,9600,4,5,9,1,8,5,1981,1981,3,14,14,2.0,0.0,4,4,4.0,1.0,5.0,1104.0,1420.0,2524.0,3,0,2524,1.0,2,1,4,4,1,4.0,5.0,3.0,542.0,474,120,7,2009,278000
31,70,3,0.0,11435,3,4,13,2,8,7,1929,1950,5,14,4,2.0,0.0,3,4,4.0,1.0,1.0,0.0,792.0,792.0,2,725,1517,0.0,1,0,3,4,2,4.0,1.0,1.0,400.0,0,0,6,2006,230000
32,120,3,30.0,9549,3,3,23,1,8,5,1995,1996,3,14,14,2.0,0.0,4,4,4.0,3.0,2.0,437.0,0.0,1494.0,5,0,1494,1.0,1,1,2,5,1,4.0,5.0,3.0,481.0,0,30,4,2006,270000
33,20,3,60.0,10950,4,5,1,1,6,6,1952,1952,3,2,2,2.0,0.0,3,5,3.0,1.0,5.0,441.0,507.0,948.0,3,0,948,0.0,1,0,2,3,0,0.0,1.0,1.0,410.0,0,48,4,2007,125000
34,20,3,79.0,10637,4,5,2,1,8,5,2007,2008,3,3,3,1.0,336.0,4,4,5.0,4.0,6.0,1288.0,417.0,1705.0,5,0,1718,1.0,2,0,3,4,1,4.0,5.0,2.0,826.0,208,44,9,2009,297000
35,20,3,80.0,9000,3,5,1,1,6,6,1958,1958,6,2,2,4.0,82.0,3,5,4.0,4.0,1.0,0.0,160.0,160.0,2,0,1142,0.0,1,0,2,3,1,4.0,4.0,2.0,384.0,0,28,4,2009,113500
36,160,1,41.0,2665,4,5,20,2,5,6,1977,1977,5,12,12,2.0,0.0,3,4,3.0,1.0,5.0,548.0,36.0,757.0,5,550,1475,0.0,2,0,4,3,1,3.0,5.0,2.0,336.0,104,26,7,2006,127000
37,20,3,105.0,11751,3,5,9,1,6,6,1977,1977,3,7,7,4.0,480.0,3,5,4.0,1.0,4.0,705.0,1139.0,1844.0,5,0,1844,0.0,2,0,3,3,1,3.0,5.0,2.0,546.0,0,122,1,2010,190000
38,20,3,80.0,9600,4,5,9,1,7,6,1973,1973,3,11,11,4.0,320.0,3,5,3.0,1.0,5.0,916.0,326.0,1242.0,2,0,1242,0.0,1,1,3,3,1,3.0,5.0,1.0,528.0,0,0,9,2007,175500
39,20,3,60.0,8428,2,5,2,1,5,7,1994,1994,5,3,3,2.0,0.0,3,4,4.0,1.0,6.0,420.0,570.0,990.0,5,0,990,1.0,1,0,3,3,0,0.0,1.0,1.0,384.0,256,0,7,2007,146000
40,20,3,75.0,9937,4,5,4,1,5,6,1965,1965,5,11,11,2.0,0.0,4,5,3.0,1.0,4.0,830.0,136.0,1256.0,4,0,1256,1.0,1,1,3,3,0,0.0,5.0,3.0,276.0,736,68,6,2008,147500
41,20,3,107.0,13891,4,5,6,1,10,5,2006,2006,5,3,3,0.0,0.0,5,4,5.0,4.0,6.0,1386.0,690.0,2076.0,5,0,2076,1.0,2,1,2,5,1,4.0,5.0,3.0,850.0,216,229,9,2006,465000
42,85,3,0.0,9101,3,4,11,5,5,6,1978,1978,5,7,7,4.0,104.0,3,4,4.0,3.0,6.0,1097.0,0.0,1097.0,5,0,1110,1.0,1,0,1,4,1,3.0,5.0,3.0,602.0,303,30,7,2009,165500
43,50,1,81.0,12150,4,5,3,3,5,5,1954,1954,5,9,9,4.0,335.0,3,6,3.0,1.0,1.0,0.0,1050.0,1050.0,5,745,1795,0.0,2,0,4,3,0,0.0,5.0,1.0,352.0,0,0,11,2008,131500
44,20,3,70.0,11200,4,5,8,1,5,5,1965,1965,3,11,11,2.0,0.0,3,5,3.0,1.0,3.0,906.0,134.0,1040.0,5,0,1040,1.0,1,0,3,3,0,0.0,1.0,1.0,384.0,0,0,2,2008,129500
45,70,3,100.0,9670,3,5,13,2,8,6,1935,1950,5,14,4,1.0,40.0,3,4,3.0,1.0,2.0,210.0,398.0,608.0,3,890,1873,0.0,1,1,4,3,2,4.0,1.0,3.0,786.0,0,0,6,2008,257076
46,50,3,60.0,10998,4,5,4,3,5,5,1941,1960,5,2,2,2.0,0.0,3,5,3.0,1.0,2.0,408.0,156.0,984.0,5,620,1604,0.0,2,0,3,3,0,0.0,1.0,1.0,660.0,0,68,7,2009,117000
47,70,3,60.0,7200,4,5,13,2,7,6,1931,2000,5,4,1,2.0,0.0,3,6,4.0,1.0,1.0,0.0,776.0,776.0,3,651,1502,0.0,1,1,3,3,1,4.0,5.0,2.0,270.0,0,0,2,2008,149000
48,20,3,80.0,9920,4,5,1,1,5,5,1954,1954,5,11,11,1.0,110.0,3,5,3.0,1.0,3.0,354.0,412.0,1056.0,3,0,1063,1.0,1,0,3,3,0,0.0,5.0,2.0,280.0,0,0,2,2010,128000
49,160,3,36.0,2448,4,5,6,2,7,5,2003,2004,5,3,1,1.0,106.0,4,4,4.0,1.0,1.0,0.0,764.0,764.0,5,862,1626,0.0,2,1,2,4,0,0.0,3.0,2.0,474.0,0,27,10,2008,155000
50,160,6,0.0,2998,4,5,5,2,6,5,2000,2000,5,9,9,4.0,513.0,4,4,4.0,1.0,6.0,353.0,403.0,756.0,5,756,1524,0.0,2,1,2,4,0,0.0,1.0,1.0,440.0,0,32,6,2006,166000
51,50,3,65.0,7804,4,5,18,3,4,3,1928,1950,5,1,7,2.0,0.0,3,6,3.0,1.0,4.0,622.0,500.0,1122.0,3,653,1981,1.0,2,0,4,4,2,3.0,1.0,1.0,576.0,431,44,12,2009,135000
52,60,3,80.0,16692,3,5,9,2,7,5,1978,1978,5,7,7,4.0,184.0,3,5,4.0,1.0,4.0,790.0,133.0,1392.0,3,1392,2784,1.0,3,1,5,4,2,3.0,5.0,2.0,564.0,0,112,7,2006,250000
53,160,1,21.0,1476,4,5,20,2,4,7,1970,1970,5,12,12,2.0,0.0,3,5,3.0,1.0,6.0,176.0,370.0,546.0,5,546,1092,0.0,1,1,3,3,0,0.0,0.0,0.0,0.0,200,26,3,2010,76000
54,20,3,75.0,10170,4,4,1,1,6,6,1951,1951,3,2,2,4.0,522.0,3,5,3.0,1.0,1.0,0.0,216.0,216.0,3,0,1575,0.0,1,1,2,4,1,4.0,5.0,1.0,400.0,0,0,6,2006,155000
55,60,3,80.0,9364,4,4,8,2,6,7,1969,1969,5,11,11,1.0,143.0,3,5,3.0,1.0,5.0,371.0,292.0,663.0,3,689,1352,0.0,1,1,4,3,0,0.0,5.0,3.0,299.0,379,36,3,2010,158000
56,160,6,24.0,2544,4,5,5,2,7,5,2004,2005,5,9,9,2.0,0.0,4,4,4.0,1.0,6.0,368.0,190.0,600.0,5,600,1200,1.0,2,1,2,4,0,0.0,1.0,2.0,480.0,0,172,2,2010,149500
57,20,3,82.0,9888,4,5,1,1,5,6,1954,1975,5,9,9,2.0,0.0,3,5,3.0,1.0,4.0,486.0,450.0,936.0,3,0,936,0.0,1,0,2,3,0,0.0,5.0,1.0,240.0,0,0,3,2006,121000
58,20,3,68.0,7942,4,5,1,1,6,7,1953,1953,3,2,2,2.0,0.0,3,5,3.0,1.0,3.0,85.0,0.0,1040.0,3,0,1040,0.0,1,0,3,3,0,0.0,5.0,3.0,293.0,0,0,6,2007,136000
59,60,3,0.0,15038,2,4,7,2,6,5,1996,1996,5,11,11,2.0,0.0,3,4,4.0,1.0,3.0,138.0,778.0,916.0,4,720,1636,0.0,2,1,3,3,1,3.0,5.0,3.0,386.0,168,84,11,2008,173000
60,60,3,92.0,11764,3,3,15,2,8,7,1999,2007,5,3,3,4.0,348.0,4,4,4.0,1.0,6.0,524.0,628.0,1152.0,5,1106,2270,0.0,2,1,4,4,1,4.0,5.0,3.0,671.0,132,57,4,2010,290000
61,60,6,75.0,9000,4,5,5,2,8,5,2007,2007,5,12,12,2.0,0.0,4,4,4.0,3.0,6.0,64.0,1120.0,1184.0,5,1426,2610,0.0,2,1,4,5,1,4.0,3.0,3.0,550.0,208,364,8,2007,303477
62,20,3,0.0,20062,3,5,19,1,7,7,1977,2001,3,2,2,2.0,0.0,4,5,4.0,4.0,5.0,1092.0,328.0,1420.0,4,0,1483,1.0,1,1,1,3,2,3.0,5.0,2.0,690.0,496,0,4,2010,270000
63,50,1,81.0,7308,4,4,3,3,5,5,1920,1950,5,1,1,2.0,0.0,2,6,3.0,1.0,3.0,360.0,576.0,936.0,4,780,1740,0.0,1,0,2,5,1,4.0,1.0,1.0,225.0,0,0,6,2008,122250
64,20,3,70.0,8750,4,5,1,1,5,5,1955,1955,5,17,17,2.0,0.0,3,5,3.0,1.0,3.0,172.0,727.0,1382.0,4,0,1382,0.0,1,0,3,4,0,0.0,5.0,1.0,350.0,280,0,7,2009,153000
